MIC Code,MIC Description
AIMX,LONDON STOCK EXCHANGE - AIM MTF
AQUA,AQUA EQUITIES L.P.
AQXA,AQUIS EXCHANGE PLC AUCTION ON DEMAND (AOD)
AQXE,AQUIS EXCHANGE PLC
ARCD,ARCA DARK
ARCX,NYSE ARCA
ASPN,INTELLIGENTCROSS ASPEN INTELLIGENT BID/OFFER
ASXC,ASX - CENTRE POINT
BAML,BANK OF AMERICA - MERRILL LYNCH INSTINCT X ATS
BARX,BARCLAYS ATS
BATD,CBOE EUROPE - BXE DARK ORDER BOOK
BATE,CBOE EUROPE - BXE ORDER BOOKS
BATF,CBOE EUROPE - BXE OFF-BOOK
BATP,CBOE EUROPE - BXE PERIODIC
BATS,CBOE BZX U.S. EQUITIES EXCHANGE
BATY,CBOE BYX U.S. EQUITIES EXCHANGE
BCSI,BARCLAYS CAPITAL SECURITIES LIMITED - SYSTEMATIC INTERNALISER
BGSI,BERENBERG - SYSTEMATIC - INTERNALISER
BIDS,BIDS TRADING L.P.
BIVA,BOLSA INSTITUCIONAL DE VALORES
BLKX,INSTINET BLOCKCROSS ATS
BLOX,BLOCKMATCH DARK
BLXA,INSTINET BLX (AU)
BMTF,BLOOMBERG TRADING FACILITY LIMITED
BOSD,NASDAQ OMX BX DARK
BRFQ,BLOCKMATCH MTF RFQ
BVMF,"BM&FBOVESPA S.A. - BOLSA DE VALORES, MERCADORIAS E FUTUROS"
BYXD,CBOE BYX U.S. EQUITIES EXCHANGE DARK
BZXD,CBOE BZX U.S. EQUITIES EXCHANGE DARK
CAES,CREDIT SUISSE AES CROSSFINDER
CBLC,CITIBLOC
CCEU,CITADEL CONNECT EUROPE - SYSTEMATIC INTERNALISER
CDED,CITADEL SECURITIES
CFHK,CROSSFINDER HONG KONG
CGMC,CITIGROUP GLOBAL MARKETS LIMITED – EMEA LIQUIDITY HUB
CGMH,CITI MATCH - HK
CHIA,CHI-X AUSTRALIA
CHIC,CHI-X CANADA ATS
CHID,CBOE EUROPE - CXE DARK ORDER BOOK
CHIJ,CHI-X JAPAN
CHIX,CBOE EUROPE - CXE ORDER BOOKS
CODA,CODA MARKETS - MICRO AND BLOCK
CPGX,"CLEARPOOL EXECUTION SERVICES, LLC"
CXAC,CHI-X MARKET AUSTRALIA - LIMIT VENUE
CXAP,CHI-X AUSTRALIA MID-POINT VENUE
DBSX,DEUTSCHE BANK SUPER X
DCSE,NASDAQ COPENHAGEN A/S - NORDIC@MID
DHEL,NASDAQ HELSINKI LTD - NORDIC@MID
DSTO,NASDAQ STOCKHOLM AB - NORDIC@MID
EDDP,CBOE EDGX U.S. EQUITIES EXCHANGE DARK
EDGA,CBOE EDGA U.S. EQUITIES EXCHANGE
EDGD,CBOE EDGA U.S. EQUITIES EXCHANGE DARK
EDGX,CBOE EDGX U.S. EQUITIES EXCHANGE
EQTB,BOERSE BERLIN EQUIDUCT TRADING - BERLIN SECOND REGULATED MARKET
G1XX,G1 EXECUTION SERVICES
GSAL,GOLDMAN SACHS (ASIA) LLC
GSCO,GOLDMAN SACHS AND CO.
GSSI,GOLDMAN SACHS INTERNATIONAL - SYSTEMATIC INTERNALISER
HREU,HRTEU LIMITED - SYSTEMATIC INTERNALISER
HRSI,HUDSON RIVER TRADING - SYSTEMATIC INTERNALISER
HRTF,HUDSON RIVER TRADING (HRT)
HRTX,HUDSON RIVER TRADING
HSBC,HSBC - SYSTEMATIC INTERNALISER
ICBX,INSTINET CBX (US)
IEXD,INVESTORS EXCHANGE - DARK
IEXG,INVESTORS EXCHANGE
IMCS,IMC FINANCIAL MARKETS
INCA,INSTINET DESK CROSS
INCR,INTELLIGENTCROSS
INVE,INVESTEC BANK PLC - SYSTEMATIC INTERNALISER
ITGI,ITG - POSIT
JEFS,JEFFERIES INTERNATIONAL - SYSTEMATIC INTERNALISER
JLEU,JUMP TRADING EUROPE - SYSTEMATIC INTERNALISER
JPEU,J.P. MORGAN AG - SYSTEMATIC INTERNALISER
JPMX,JPMX
JPSI,J.P. MORGAN SECURITIES PLC
JSES,JANE STREET EXECUTION SERVICES LLC
JSJX,JANE STREET JX
JSSI,JANE STREET FINANCIAL LTD - SYSTEMATIC INTERNALISER
KNEM,KNIGHT EQUITY MARKETS LP
KNLI,KNIGHT LINK
LEVL,LEVEL ATS
LIQU,LIQUIDNET SYSTEMS
LISX,CBOE EUROPE - LIS SERVICE
LIUH,"LIQUIDNET, INC. H2O ATS"
LYNX,LYNX ATS
